geometry,centroid,mugs,cens,club,hood
"POLYGON ((-58.46769662708049 -34.54531628020794, -58.46769662708049 -34.54753818097116, -58.47015132375397 -34.54753818097116, -58.47015132375397 -34.54531628020794, -58.46769662708049 -34.54531628020794))",POINT (-58.46892397541723 -34.54642723058955),2,0,1,NUÑEZ
"POLYGON ((-58.465241930407 -34.54531628020794, -58.465241930407 -34.54753818097116, -58.46769662708049 -34.54753818097116, -58.46769662708049 -34.54531628020794, -58.465241930407 -34.54531628020794))",POINT (-58.46646927874375 -34.54642723058955),1,0,1,NUÑEZ
"POLYGON ((-58.46278723373352 -34.54531628020794, -58.46278723373352 -34.54753818097116, -58.465241930407 -34.54753818097116, -58.465241930407 -34.54531628020794, -58.46278723373352 -34.54531628020794))",POINT (-58.46401458207026 -34.54642723058955),1,0,1,NUÑEZ
"POLYGON ((-58.46033253706004 -34.54531628020794, -58.46033253706004 -34.54753818097116, -58.46278723373352 -34.54753818097116, -58.46278723373352 -34.54531628020794, -58.46033253706004 -34.54531628020794))",POINT (-58.46155988539678 -34.54642723058955),3,0,1,NUÑEZ
"POLYGON ((-58.45787784038656 -34.54531628020794, -58.45787784038656 -34.54753818097116, -58.46033253706004 -34.54753818097116, -58.46033253706004 -34.54531628020794, -58.45787784038656 -34.54531628020794))",POINT (-58.4591051887233 -34.54642723058955),6,0,1,NUÑEZ
"POLYGON ((-58.45542314371308 -34.54531628020794, -58.45542314371308 -34.54753818097116, -58.45787784038656 -34.54753818097116, -58.45787784038656 -34.54531628020794, -58.45542314371308 -34.54531628020794))",POINT (-58.45665049204981 -34.54642723058955),1,0,1,NUÑEZ
"POLYGON ((-58.45296844703959 -34.54531628020794, -58.45296844703959 -34.54753818097116, -58.45542314371308 -34.54753818097116, -58.45542314371308 -34.54531628020794, -58.45296844703959 -34.54531628020794))",POINT (-58.45419579537634 -34.54642723058955),0,1,1,NUÑEZ
"POLYGON ((-58.45051375036611 -34.54531628020794, -58.45051375036611 -34.54753818097116, -58.45296844703959 -34.54753818097116, -58.45296844703959 -34.54531628020794, -58.45051375036611 -34.54531628020794))",POINT (-58.45174109870285 -34.54642723058955),1,0,1,BELGRANO
"POLYGON ((-58.44805905369264 -34.54531628020794, -58.44805905369264 -34.54753818097116, -58.45051375036611 -34.54753818097116, -58.45051375036611 -34.54531628020794, -58.44805905369264 -34.54531628020794))",POINT (-58.44928640202937 -34.54642723058956),0,1,1,BELGRANO
"POLYGON ((-58.44560435701916 -34.54531628020794, -58.44560435701916 -34.54753818097116, -58.44805905369264 -34.54753818097116, -58.44805905369264 -34.54531628020794, -58.44560435701916 -34.54531628020794))",POINT (-58.4468317053559 -34.54642723058955),0,1,0,BELGRANO
"POLYGON ((-58.44314966034568 -34.54531628020794, -58.44314966034568 -34.54753818097116, -58.44560435701916 -34.54753818097116, -58.44560435701916 -34.54531628020794, -58.44314966034568 -34.54531628020794))",POINT (-58.44437700868241 -34.54642723058955),0,1,0,BELGRANO
"POLYGON ((-58.44069496367219 -34.54531628020794, -58.44069496367219 -34.54753818097116, -58.44314966034568 -34.54753818097116, -58.44314966034568 -34.54531628020794, -58.44069496367219 -34.54531628020794))",POINT (-58.44192231200893 -34.54642723058955),1,0,0,BELGRANO
"POLYGON ((-58.43824026699871 -34.54531628020794, -58.43824026699871 -34.54753818097116, -58.44069496367219 -34.54753818097116, -58.44069496367219 -34.54531628020794, -58.43824026699871 -34.54531628020794))",POINT (-58.43946761533545 -34.54642723058955),0,1,0,BELGRANO
"POLYGON ((-58.43578557032523 -34.54531628020794, -58.43578557032523 -34.54753818097116, -58.43824026699871 -34.54753818097116, -58.43824026699871 -34.54531628020794, -58.43578557032523 -34.54531628020794))",POINT (-58.43701291866196 -34.54642723058955),0,1,0,BELGRANO
"POLYGON ((-58.43333087365175 -34.54531628020794, -58.43333087365175 -34.54753818097116, -58.43578557032523 -34.54753818097116, -58.43578557032523 -34.54531628020794, -58.43333087365175 -34.54531628020794))",POINT (-58.43455822198849 -34.54642723058955),0,1,0,BELGRANO
"POLYGON ((-58.43087617697827 -34.54531628020794, -58.43087617697827 -34.54753818097116, -58.43333087365175 -34.54753818097116, -58.43333087365175 -34.54531628020794, -58.43087617697827 -34.54531628020794))",POINT (-58.432103525315 -34.54642723058955),0,1,0,BELGRANO
"POLYGON ((-58.49469829048878 -34.54753818097116, -58.49469829048878 -34.54976008173438, -58.49715298716226 -34.54976008173438, -58.49715298716226 -34.54753818097116, -58.49469829048878 -34.54753818097116))",POINT (-58.49592563882552 -34.54864913135277),1,0,0,SAAVEDRA
"POLYGON ((-58.4922435938153 -34.54753818097116, -58.4922435938153 -34.54976008173438, -58.49469829048878 -34.54976008173438, -58.49469829048878 -34.54753818097116, -58.4922435938153 -34.54753818097116))",POINT (-58.49347094215204 -34.54864913135277),0,1,0,SAAVEDRA
"POLYGON ((-58.48978889714181 -34.54753818097116, -58.48978889714181 -34.54976008173438, -58.4922435938153 -34.54976008173438, -58.4922435938153 -34.54753818097116, -58.48978889714181 -34.54753818097116))",POINT (-58.49101624547855 -34.54864913135277),3,0,0,SAAVEDRA
"POLYGON ((-58.48733420046833 -34.54753818097116, -58.48733420046833 -34.54976008173438, -58.48978889714181 -34.54976008173438, -58.48978889714181 -34.54753818097116, -58.48733420046833 -34.54753818097116))",POINT (-58.48856154880507 -34.54864913135277),2,0,0,SAAVEDRA
"POLYGON ((-58.48487950379485 -34.54753818097116, -58.48487950379485 -34.54976008173438, -58.48733420046833 -34.54976008173438, -58.48733420046833 -34.54753818097116, -58.48487950379485 -34.54753818097116))",POINT (-58.4861068521316 -34.54864913135277),3,0,0,SAAVEDRA
