geometry,timestamp,violence
POINT (-58.4021 -34.6218),2016-10-28 22:00:00,Robo
POINT (-58.4009 -34.5964),2016-10-28 23:30:00,Robo
POINT (-58.4611 -34.6143),2016-10-23 00:00:00,Robo
POINT (-58.4499 -34.6275),2016-10-23 22:15:00,Robo
POINT (-58.4384 -34.5913),2016-10-23 03:04:00,Robo
POINT (-58.4367 -34.5859),2016-10-23 02:00:00,Robo
POINT (-58.4359 -34.5892),2016-10-23 01:30:00,Robo
POINT (-58.433 -34.6052),2016-10-23 08:00:00,Robo
POINT (-58.4319 -34.5931),2016-10-23 03:00:00,Robo
POINT (-58.4302 -34.5569),2016-10-23 23:45:00,Robo
POINT (-58.4279 -34.603),2016-10-23 04:00:00,Robo
POINT (-58.4264 -34.6039),2016-10-23 23:00:00,Robo
POINT (-58.4245 -34.5808),2016-10-23 07:00:00,Robo
POINT (-58.4242 -34.5987),2016-10-23 00:00:00,Robo
POINT (-58.4206 -34.565),2016-10-23 03:00:00,Robo
POINT (-58.4179 -34.5903),2016-10-23 03:30:00,Robo
POINT (-58.4171 -34.602),2016-10-23 22:30:00,Robo
POINT (-58.4156 -34.5745),2016-10-23 04:00:00,Robo
POINT (-58.4094 -34.6062),2016-10-23 01:00:00,Robo
POINT (-58.4067 -34.6073),2016-10-23 01:30:00,Robo
POINT (-58.4013 -34.6062),2016-10-23 07:00:00,Robo
POINT (-58.3921 -34.5998),2016-10-23 23:30:00,Robo
POINT (-58.3905 -34.5954),2016-10-23 05:00:00,Robo
POINT (-58.39 -34.6185),2016-10-23 05:00:00,Robo
POINT (-58.3842 -34.6058),2016-10-23 22:00:00,Robo
POINT (-58.3834 -34.6256),2016-10-23 03:15:00,Robo
POINT (-58.3834 -34.6265),2016-10-23 03:30:00,Robo
POINT (-58.3826 -34.5999),2016-10-23 06:30:00,Robo
POINT (-58.3808 -34.6172),2016-10-23 22:00:00,Robo
POINT (-58.367 -34.6188),2016-10-23 22:30:00,Robo
POINT (-58.5078 -34.6655),2016-10-23 06:53:00,Robo
POINT (-58.4903 -34.6622),2016-10-23 05:15:00,Robo
POINT (-58.4763 -34.6561),2016-10-23 23:30:00,Robo
POINT (-58.4987 -34.651),2016-10-23 00:00:00,Robo
POINT (-58.5089 -34.649),2016-10-23 22:00:00,Robo
POINT (-58.4719 -34.6477),2016-10-23 02:45:00,Robo
POINT (-58.356 -34.6287),2016-10-23 00:00:00,Robo
POINT (-58.3652 -34.6323),2016-10-23 00:00:00,Robo
POINT (-58.5034 -34.5698),2016-10-23 00:00:00,Robo
POINT (-58.4714 -34.5638),2016-10-23 00:00:00,Robo
POINT (-58.4747 -34.562),2016-10-23 00:00:00,Robo
POINT (-58.4552 -34.5956),2016-10-23 06:15:00,Robo
POINT (-58.452 -34.6437),2016-10-23 06:30:00,Robo
POINT (-58.4511 -34.6408),2016-10-23 22:30:00,Robo
POINT (-58.4211 -34.6407),2016-10-23 23:30:00,Robo
POINT (-58.4951 -34.6393),2016-10-23 04:54:00,Robo
POINT (-58.5264 -34.6378),2016-10-23 22:30:00,Robo
POINT (-58.4589 -34.6355),2016-10-23 05:45:00,Robo
POINT (-58.4785 -34.635),2016-10-23 06:00:00,Robo
POINT (-58.3773 -34.6197),2016-10-23 23:00:00,Robo
POINT (-58.5302 -34.6171),2016-10-23 06:40:00,Robo
POINT (-58.4807 -34.6104),2016-10-23 23:30:00,Robo
POINT (-58.4891 -34.6044),2016-10-23 03:00:00,Robo
POINT (-58.3745 -34.5906),2016-10-23 06:00:00,Robo
POINT (-58.4041 -34.5851),2016-10-23 22:34:00,Robo
POINT (-58.4111 -34.5777),2016-10-23 07:10:00,Robo
POINT (-58.4742 -34.5772),2016-10-23 05:30:00,Robo
POINT (-58.4608 -34.5608),2016-10-23 23:30:00,Robo
POINT (-58.3694 -34.6425),2016-10-22 22:30:00,Robo
POINT (-58.4523 -34.6407),2016-10-22 02:00:00,Robo
POINT (-58.4588 -34.6405),2016-10-22 07:30:00,Robo
POINT (-58.4662 -34.6362),2016-10-22 23:50:00,Robo
POINT (-58.5289 -34.6336),2016-10-22 23:30:00,Robo
POINT (-58.4706 -34.6333),2016-10-22 00:00:00,Robo
POINT (-58.5248 -34.6318),2016-10-22 22:00:00,Robo
POINT (-58.473 -34.631),2016-10-22 05:20:00,Robo
POINT (-58.4527 -34.6291),2016-10-22 23:10:00,Robo
POINT (-58.5133 -34.6061),2016-10-22 22:30:00,Robo
POINT (-58.4717 -34.6043),2016-10-22 01:05:00,Robo
POINT (-58.471 -34.6025),2016-10-22 01:10:00,Robo
POINT (-58.4911 -34.6022),2016-10-22 22:00:00,Robo
POINT (-58.48699999999999 -34.6006),2016-10-22 02:30:00,Robo
POINT (-58.4745 -34.6004),2016-10-22 05:00:00,Robo
POINT (-58.4949 -34.5946),2016-10-22 06:30:00,Robo
POINT (-58.4502 -34.5778),2016-10-22 03:40:00,Robo
POINT (-58.4123 -34.576),2016-10-22 23:15:00,Robo
POINT (-58.4501 -34.575),2016-10-22 01:30:00,Robo
POINT (-58.4306 -34.5736),2016-10-22 23:00:00,Robo
POINT (-58.4616 -34.5719),2016-10-22 00:15:00,Robo
POINT (-58.434 -34.5677),2016-10-22 22:00:00,Robo
POINT (-58.4548 -34.5656),2016-10-22 00:39:00,Robo
POINT (-58.4573 -34.5616),2016-10-22 05:00:00,Robo
POINT (-58.4638 -34.6169),2016-10-22 07:00:00,Robo
POINT (-58.4515 -34.6034),2016-10-22 08:00:00,Robo
POINT (-58.4505 -34.6089),2016-10-22 03:00:00,Robo
POINT (-58.4461 -34.6224),2016-10-22 01:15:00,Robo
POINT (-58.4438 -34.6276),2016-10-22 00:30:00,Robo
POINT (-58.4385 -34.6027),2016-10-22 06:25:00,Robo
POINT (-58.4369 -34.591),2016-10-22 02:30:00,Robo
POINT (-58.4368 -34.6003),2016-10-22 05:00:00,Robo
POINT (-58.4355 -34.5876),2016-10-22 02:00:00,Robo
